,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
10436,2020.02.20,12:00:00,0.87927,0.87932,0.87619,0.87679,6661,0,16
10437,2020.02.20,16:00:00,0.87675,0.87792,0.87635,0.87712,5376,0,15
10438,2020.02.20,20:00:00,0.87709,0.87757,0.87611,0.87672,3171,0,19
10439,2020.02.21,00:00:00,0.87676,0.87758,0.87433,0.87521,5334,0,18
10440,2020.02.21,04:00:00,0.87521,0.87536,0.8735,0.87394,4008,0,16
10441,2020.02.21,08:00:00,0.87394,0.8752,0.87357,0.87503,6215,0,16
10442,2020.02.21,12:00:00,0.87501,0.87696,0.87422,0.87692,7525,0,15
10443,2020.02.21,16:00:00,0.87692,0.87719,0.87521,0.8758,4222,0,17
10444,2020.02.21,20:00:00,0.8758,0.87627,0.87541,0.87602,1516,0,19
10445,2020.02.24,00:00:00,0.87541,0.87692,0.87522,0.87635,5815,0,15
10446,2020.02.24,04:00:00,0.87638,0.87683,0.87449,0.87587,3985,0,15
10447,2020.02.24,08:00:00,0.87588,0.87768,0.87544,0.87734,7675,0,15
10448,2020.02.24,12:00:00,0.87734,0.87814,0.87623,0.87773,8645,0,15
10449,2020.02.24,16:00:00,0.87774,0.87864,0.87663,0.87684,5612,0,15
10450,2020.02.24,20:00:00,0.87686,0.87865,0.87669,0.87834,4190,0,15
10451,2020.02.25,00:00:00,0.87832,0.87974,0.87811,0.87935,5981,0,16
10452,2020.02.25,04:00:00,0.87935,0.87989,0.87771,0.87781,4240,0,16
10453,2020.02.25,08:00:00,0.87781,0.8788,0.87673,0.87698,7487,0,14
10454,2020.02.25,12:00:00,0.87695,0.87744,0.87488,0.87741,8092,0,15
10455,2020.02.25,16:00:00,0.87744,0.87795,0.8756,0.87595,6589,0,16
10456,2020.02.25,20:00:00,0.87596,0.8774,0.87574,0.87708,4142,0,15
10457,2020.02.26,00:00:00,0.87708,0.8774,0.87568,0.8765,6323,0,18
10458,2020.02.26,04:00:00,0.8765,0.87656,0.87271,0.87359,5252,0,16
10459,2020.02.26,08:00:00,0.87355,0.87496,0.87308,0.87347,8728,0,15
10460,2020.02.26,12:00:00,0.87347,0.8739,0.8712,0.87181,9522,0,14
10461,2020.02.26,16:00:00,0.87181,0.8737,0.87155,0.87314,7303,0,16
10462,2020.02.26,20:00:00,0.87313,0.87393,0.8717,0.87351,4569,0,19
10463,2020.02.27,00:00:00,0.87352,0.87508,0.87257,0.87468,8039,0,18
