,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
266,2014.06.11,1.67473,1.68102,1.67378,1.67896,44358,0,1
267,2014.06.12,1.67899,1.6958,1.67899,1.69547,47492,0,1
268,2014.06.13,1.69546,1.69913,1.69387,1.69634,41894,0,2
269,2014.06.16,1.69767,1.70106,1.69592,1.69771,38825,0,1
270,2014.06.17,1.69772,1.6989,1.69376,1.69605,44538,0,1
271,2014.06.18,1.69604,1.70021,1.69195,1.69971,49571,0,1
272,2014.06.19,1.6997,1.70626,1.69843,1.70384,47899,0,1
273,2014.06.20,1.70381,1.70602,1.70027,1.70138,39509,0,1
274,2014.06.23,1.70202,1.70491,1.70014,1.70236,39560,0,1
275,2014.06.24,1.70238,1.70317,1.69656,1.69802,41703,0,1
276,2014.06.25,1.69802,1.70041,1.69521,1.69812,38521,0,1
277,2014.06.26,1.69808,1.70398,1.69708,1.70223,41125,0,1
278,2014.06.27,1.70223,1.70512,1.70065,1.70312,32239,0,1
279,2014.06.30,1.70348,1.71136,1.70085,1.71064,33504,0,1
280,2014.07.01,1.71063,1.71648,1.70946,1.71448,24989,0,20
281,2014.07.02,1.7145,1.7175,1.71389,1.71591,24614,0,22
282,2014.07.03,1.7159,1.7162,1.71057,1.71509,28177,0,2
283,2014.07.04,1.71508,1.71789,1.7131,1.71595,20456,0,4
284,2014.07.07,1.71527,1.7156,1.7108,1.71318,22501,0,4
285,2014.07.08,1.7132,1.71468,1.70849,1.71368,23468,0,4
286,2014.07.09,1.71367,1.716,1.70937,1.71567,26867,0,1
287,2014.07.10,1.71565,1.71669,1.71046,1.71288,26758,0,4
288,2014.07.11,1.71289,1.71502,1.70885,1.71098,53232,0,1
289,2014.07.14,1.71217,1.71441,1.70698,1.70875,83313,0,1
290,2014.07.15,1.70875,1.71898,1.70593,1.71428,85175,0,1
291,2014.07.16,1.71417,1.71511,1.71132,1.71377,35964,0,1
292,2014.07.17,1.71375,1.71433,1.70838,1.70915,37398,0,2
293,2014.07.18,1.70913,1.71175,1.7036,1.7076,33501,0,1
294,2014.07.21,1.70877,1.70989,1.70552,1.70677,38237,0,2
295,2014.07.22,1.70684,1.70825,1.70412,1.70628,52022,0,1
296,2014.07.23,1.7063,1.70949,1.70237,1.70389,63872,0,1
297,2014.07.24,1.70388,1.70531,1.69659,1.69893,59834,0,1
298,2014.07.25,1.69893,1.69977,1.69607,1.69734,55470,0,1
299,2014.07.28,1.6981,1.70007,1.69721,1.69823,51856,0,1
300,2014.07.29,1.69821,1.69945,1.6933,1.69462,65432,0,2
301,2014.07.30,1.69464,1.69548,1.68888,1.69081,60690,0,2
302,2014.07.31,1.6908,1.69264,1.68562,1.68906,46666,0,1
303,2014.08.01,1.68906,1.68909,1.68027,1.68215,50217,0,1
304,2014.08.04,1.68247,1.68666,1.68135,1.68658,47402,0,6
305,2014.08.05,1.68658,1.68883,1.68447,1.68766,51039,0,6
306,2014.08.06,1.68766,1.68833,1.68213,1.68528,49734,0,6
307,2014.08.07,1.68529,1.68635,1.68231,1.68267,55240,0,6
308,2014.08.08,1.68267,1.68312,1.67663,1.67685,57974,0,6
309,2014.08.11,1.67757,1.67954,1.67701,1.67809,37857,0,6
310,2014.08.12,1.67809,1.68155,1.67566,1.6805,42438,0,6
311,2014.08.13,1.68048,1.68445,1.6685,1.66878,62614,0,6
312,2014.08.14,1.66878,1.66966,1.66571,1.6685,46099,0,6
313,2014.08.15,1.6685,1.67013,1.66764,1.66861,42453,0,6
314,2014.08.18,1.6718,1.67371,1.67121,1.67221,31757,0,6
315,2014.08.19,1.67221,1.67254,1.66109,1.66195,47165,0,6
316,2014.08.20,1.66195,1.66785,1.65894,1.6599,57554,0,6
317,2014.08.21,1.65993,1.66012,1.65637,1.65782,55636,0,6
318,2014.08.22,1.65781,1.65975,1.65609,1.65649,57141,0,2
319,2014.08.25,1.6548,1.6598,1.65459,1.65686,51982,0,3
320,2014.08.26,1.65685,1.6595,1.65381,1.6546,66415,0,6
321,2014.08.27,1.6546,1.66049,1.65366,1.65748,65838,0,6
322,2014.08.28,1.65748,1.66132,1.65669,1.65883,52436,0,1
323,2014.08.29,1.65882,1.66131,1.65624,1.65971,40782,0,1
324,2014.09.01,1.65906,1.66435,1.65893,1.66137,44135,0,6
325,2014.09.02,1.66138,1.66139,1.64646,1.64675,74519,0,6
326,2014.09.03,1.64675,1.64972,1.64398,1.64595,68909,0,1
327,2014.09.04,1.64594,1.64656,1.6287,1.62926,75419,0,1
328,2014.09.05,1.62926,1.63405,1.62806,1.63262,63886,0,1
329,2014.09.08,1.62136,1.62328,1.60922,1.60924,95827,0,1
330,2014.09.09,1.60924,1.61568,1.60591,1.61224,98844,0,1
331,2014.09.10,1.61224,1.62298,1.6052,1.61977,86631,0,1
332,2014.09.11,1.61975,1.6277,1.61852,1.62485,78371,0,1
333,2014.09.12,1.62485,1.6272,1.62046,1.6263,85597,0,1
334,2014.09.15,1.62585,1.62683,1.62204,1.62253,74933,0,1
335,2014.09.16,1.62252,1.63118,1.61621,1.62645,82954,0,1
336,2014.09.17,1.62647,1.63583,1.62465,1.62664,84144,0,1
337,2014.09.18,1.6267,1.64595,1.62513,1.6425,94461,0,1
338,2014.09.19,1.64251,1.65244,1.62838,1.62876,101198,0,1
339,2014.09.22,1.63094,1.63718,1.63088,1.63686,120403,0,1
340,2014.09.23,1.63685,1.64156,1.63029,1.63945,67901,0,1
341,2014.09.24,1.63945,1.64134,1.63153,1.63256,63771,0,1
342,2014.09.25,1.63255,1.63418,1.62763,1.63307,78726,0,1
343,2014.09.26,1.63306,1.63329,1.62379,1.62416,64047,0,1
344,2014.09.29,1.62391,1.62745,1.62143,1.62413,65470,0,1
345,2014.09.30,1.62409,1.62873,1.61664,1.62146,78668,0,1
346,2014.10.01,1.62147,1.62521,1.61618,1.61881,78055,0,1
347,2014.10.02,1.61878,1.625,1.61126,1.61567,92026,0,1
348,2014.10.03,1.61565,1.61568,1.59518,1.59672,68730,0,1
349,2014.10.06,1.59623,1.60993,1.596,1.60734,57835,0,1
350,2014.10.07,1.60735,1.61291,1.6026,1.60863,84592,0,1
351,2014.10.08,1.60865,1.61816,1.60319,1.61618,85954,0,1
352,2014.10.09,1.61617,1.62268,1.61045,1.61209,87330,0,1
353,2014.10.10,1.6121,1.61358,1.60086,1.60756,76571,0,1
354,2014.10.13,1.60918,1.61267,1.60509,1.60638,80143,0,1
355,2014.10.14,1.6064,1.60801,1.58832,1.58895,80221,0,1
356,2014.10.15,1.589,1.60692,1.5875,1.59879,124661,0,1
357,2014.10.16,1.59879,1.61102,1.59412,1.60957,110026,0,1
358,2014.10.17,1.60957,1.61252,1.60296,1.60915,69157,0,1
359,2014.10.20,1.60893,1.61787,1.60795,1.61542,68227,0,10
360,2014.10.21,1.61542,1.61838,1.6106,1.6112,78423,0,10
361,2014.10.22,1.6112,1.61303,1.60109,1.6043,76098,0,10
362,2014.10.23,1.60433,1.60596,1.5994,1.60251,73530,0,8
363,2014.10.24,1.60249,1.60979,1.60163,1.60832,66044,0,5
364,2014.10.27,1.60972,1.61465,1.60868,1.61138,60803,0,6
365,2014.10.28,1.61142,1.6182,1.60882,1.61375,65843,0,1
366,2014.10.29,1.61375,1.61611,1.59662,1.59713,71080,0,10
367,2014.10.30,1.59711,1.6038,1.59505,1.59956,83192,0,1
368,2014.10.31,1.59956,1.60107,1.59414,1.5993,96929,0,10
369,2014.11.03,1.59376,1.60212,1.59357,1.59731,90682,0,10
370,2014.11.04,1.59729,1.60157,1.59729,1.60017,86180,0,10
371,2014.11.05,1.60017,1.60212,1.58684,1.59562,102387,0,9
372,2014.11.06,1.59555,1.60015,1.58238,1.58391,114190,0,1
373,2014.11.07,1.58397,1.5886,1.57893,1.587,98450,0,10
374,2014.11.10,1.58736,1.59169,1.58386,1.58498,79024,0,10
375,2014.11.11,1.58497,1.59441,1.58347,1.5908,78791,0,1
376,2014.11.12,1.59083,1.59404,1.57593,1.57705,99043,0,10
377,2014.11.13,1.57706,1.57808,1.5677,1.56856,92286,0,1
378,2014.11.14,1.56856,1.56985,1.55926,1.56672,104821,0,1
379,2014.11.17,1.56742,1.5735,1.56193,1.56436,88045,0,1
380,2014.11.18,1.56446,1.56786,1.5611,1.5611,74638,0,1
381,2014.11.19,1.56109,1.57208,1.55897,1.56697,67492,0,1
