,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
262,2013.08.01,16:00:00,1.67996,1.68108,1.67495,1.67647,9514,0,4
263,2013.08.01,20:00:00,1.67645,1.67703,1.67093,1.67193,6581,0,5
264,2013.08.02,00:00:00,1.67193,1.67403,1.67052,1.67263,9398,0,7
265,2013.08.02,04:00:00,1.67263,1.68013,1.67216,1.67895,11546,0,6
266,2013.08.02,08:00:00,1.67896,1.68267,1.67595,1.67656,12446,0,5
267,2013.08.02,12:00:00,1.67656,1.69861,1.67197,1.6961,21151,0,1
268,2013.08.02,16:00:00,1.69611,1.69653,1.69054,1.69575,7463,0,1
269,2013.08.02,20:00:00,1.69565,1.69675,1.69037,1.69174,1204,0,14
270,2013.08.05,00:00:00,1.70903,1.71524,1.70783,1.71083,9850,0,3
271,2013.08.05,04:00:00,1.71083,1.71112,1.69723,1.70181,12698,0,1
272,2013.08.05,08:00:00,1.70184,1.71,1.70183,1.70805,12258,0,3
273,2013.08.05,12:00:00,1.7082,1.70973,1.69843,1.70004,14760,0,3
274,2013.08.05,16:00:00,1.69999,1.70075,1.69664,1.69814,6592,0,5
275,2013.08.05,20:00:00,1.69814,1.69814,1.68604,1.69158,6077,0,4
276,2013.08.06,00:00:00,1.69158,1.69413,1.68948,1.69255,8952,0,5
277,2013.08.06,04:00:00,1.69255,1.69333,1.6852,1.68654,12503,0,7
278,2013.08.06,08:00:00,1.68653,1.6881,1.68227,1.68713,12602,0,4
279,2013.08.06,12:00:00,1.68713,1.69474,1.68506,1.68606,15773,0,1
280,2013.08.06,16:00:00,1.686,1.686,1.68,1.68444,7219,0,7
281,2013.08.06,20:00:00,1.68438,1.68603,1.68063,1.68493,6885,0,4
282,2013.08.07,00:00:00,1.68489,1.68587,1.68254,1.6838,8836,0,4
283,2013.08.07,04:00:00,1.68377,1.68507,1.67973,1.68215,12749,0,9
284,2013.08.07,08:00:00,1.68215,1.68733,1.67941,1.68318,17147,0,4
285,2013.08.07,12:00:00,1.68319,1.6841,1.66642,1.67075,16916,0,1
286,2013.08.07,16:00:00,1.67073,1.67627,1.66857,1.67523,8681,0,7
287,2013.08.07,20:00:00,1.67523,1.67696,1.67226,1.67562,7342,0,3
