,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
1422,2018.11.22,1.13882,1.14337,1.13849,1.14023,51302,0,3
1423,2018.11.23,1.14023,1.14208,1.1327,1.13296,53392,0,4
1424,2018.11.26,1.13372,1.13834,1.13246,1.13327,58788,0,4
1425,2018.11.27,1.13327,1.13434,1.1277,1.12966,72858,0,3
1426,2018.11.28,1.12966,1.13875,1.12667,1.13671,78813,0,2
1427,2018.11.29,1.1367,1.14013,1.13483,1.13922,73144,0,2
1428,2018.11.30,1.1392,1.14001,1.1305,1.13155,65508,0,4
1429,2018.12.03,1.13419,1.13793,1.13189,1.13539,62767,0,3
1430,2018.12.04,1.13538,1.14185,1.13181,1.13421,83046,0,4
1431,2018.12.05,1.13421,1.13609,1.13104,1.13483,50935,0,2
1432,2018.12.06,1.13484,1.14123,1.13205,1.13755,92403,0,3
1433,2018.12.07,1.13755,1.14233,1.136,1.13962,79832,0,4
1434,2018.12.10,1.13994,1.14423,1.135,1.13555,88912,0,3
1435,2018.12.11,1.13557,1.14001,1.13059,1.13212,82169,0,2
1436,2018.12.12,1.13213,1.13868,1.13146,1.13722,83817,0,3
1437,2018.12.13,1.13722,1.1393,1.13307,1.13624,74903,0,3
1438,2018.12.14,1.13625,1.13646,1.12694,1.13053,66224,0,2
1439,2018.12.17,1.13041,1.13574,1.13024,1.1349,60631,0,3
1440,2018.12.18,1.13493,1.14018,1.13363,1.13753,71672,0,3
1441,2018.12.19,1.13753,1.14388,1.13639,1.13862,92409,0,3
1442,2018.12.20,1.13862,1.14855,1.13768,1.14562,103625,0,4
1443,2018.12.21,1.14562,1.14736,1.13556,1.13665,90531,0,2
1444,2018.12.24,1.1372,1.14381,1.13701,1.14164,62617,0,3
1445,2018.12.26,1.14144,1.14147,1.13422,1.13599,43745,0,2
1446,2018.12.27,1.136,1.14538,1.13576,1.143,98443,0,4
1447,2018.12.28,1.143,1.14723,1.14296,1.14398,80740,0,5
1448,2018.12.31,1.14386,1.14655,1.1421,1.14558,55104,0,4
1449,2019.01.02,1.14454,1.14967,1.13088,1.13119,82933,0,2
1450,2019.01.03,1.1312,1.14107,1.13094,1.13896,107911,0,5
1451,2019.01.04,1.13896,1.14187,1.13453,1.13955,84015,0,2
1452,2019.01.07,1.14098,1.14821,1.14043,1.14785,61395,0,3
1453,2019.01.08,1.14785,1.14841,1.14216,1.14573,65345,0,2
1454,2019.01.09,1.14578,1.15578,1.14387,1.15541,86009,0,2
1455,2019.01.10,1.15541,1.15698,1.14844,1.1508,76712,0,2
1456,2019.01.11,1.1508,1.154,1.14576,1.14626,73471,0,2
1457,2019.01.14,1.14594,1.14816,1.14501,1.14722,64528,0,4
1458,2019.01.15,1.14722,1.14893,1.13813,1.14137,85371,0,3
1459,2019.01.16,1.14137,1.14244,1.13773,1.13991,67053,0,4
1460,2019.01.17,1.13991,1.14056,1.13697,1.13918,68673,0,4
1461,2019.01.18,1.13916,1.14099,1.13528,1.13655,59014,0,4
1462,2019.01.21,1.13648,1.13907,1.13563,1.13685,41709,0,3
1463,2019.01.22,1.13685,1.13735,1.13356,1.13628,59930,0,3
1464,2019.01.23,1.13628,1.1394,1.13505,1.13857,60481,0,3
1465,2019.01.24,1.13857,1.13911,1.12889,1.13122,93167,0,3
1466,2019.01.25,1.13122,1.14172,1.13045,1.14051,77791,0,4
1467,2019.01.28,1.14123,1.14432,1.13897,1.14292,59523,0,4
1468,2019.01.29,1.14292,1.14498,1.14108,1.14345,77807,0,2
1469,2019.01.30,1.14344,1.15013,1.14057,1.14849,80580,0,3
1470,2019.01.31,1.14849,1.15139,1.14353,1.14478,78290,0,4
1471,2019.02.01,1.14478,1.1488,1.14339,1.14529,66793,0,4
1472,2019.02.04,1.14541,1.146,1.14239,1.14345,56299,0,4
1473,2019.02.05,1.14345,1.14401,1.14007,1.14084,52167,0,3
1474,2019.02.06,1.14084,1.14086,1.13603,1.13651,51475,0,2
1475,2019.02.07,1.13651,1.13672,1.13242,1.13378,55114,0,2
1476,2019.02.08,1.13378,1.13505,1.13206,1.13217,43744,0,3
1477,2019.02.11,1.13234,1.13296,1.12675,1.12781,46175,0,2
1478,2019.02.12,1.12781,1.13392,1.12573,1.13333,52318,0,5
1479,2019.02.13,1.13332,1.1341,1.12488,1.12642,59761,0,3
1480,2019.02.14,1.12642,1.13095,1.12493,1.12943,67565,0,3
1481,2019.02.15,1.12943,1.13058,1.12336,1.12905,62018,0,3
1482,2019.02.18,1.12946,1.13335,1.12934,1.13113,38876,0,4
1483,2019.02.19,1.13113,1.13571,1.1275,1.13395,64580,0,3
1484,2019.02.20,1.13395,1.13707,1.13243,1.13458,63054,0,3
1485,2019.02.21,1.13459,1.1366,1.13197,1.13393,74301,0,4
1486,2019.02.22,1.13393,1.13552,1.13157,1.13303,56450,0,4
1487,2019.02.25,1.13418,1.13671,1.13364,1.13644,54627,0,3
1488,2019.02.26,1.13643,1.14024,1.13447,1.13927,63650,0,3
1489,2019.02.27,1.13926,1.14032,1.13619,1.13792,62380,0,3
1490,2019.02.28,1.13789,1.14192,1.1359,1.13727,71706,0,2
1491,2019.03.01,1.13727,1.14081,1.13529,1.13626,62638,0,4
1492,2019.03.04,1.13746,1.13746,1.13087,1.13359,58179,0,3
1493,2019.03.05,1.1336,1.13381,1.12892,1.13057,56920,0,2
1494,2019.03.06,1.13056,1.13243,1.12852,1.13126,50645,0,4
1495,2019.03.07,1.13126,1.13198,1.11756,1.11976,70366,0,4
1496,2019.03.08,1.11976,1.12457,1.11848,1.12324,65799,0,4
1497,2019.03.11,1.12312,1.12735,1.12214,1.12589,57980,0,4
1498,2019.03.12,1.12587,1.13046,1.12487,1.12861,69315,0,2
1499,2019.03.13,1.12861,1.13383,1.1277,1.13299,54857,0,2
1500,2019.03.14,1.133,1.13356,1.12938,1.1306,63432,0,3
1501,2019.03.15,1.1306,1.13439,1.12996,1.13237,47776,0,4
1502,2019.03.18,1.1319,1.13586,1.13188,1.13356,43215,0,3
1503,2019.03.19,1.13357,1.13612,1.13332,1.13538,42927,0,5
1504,2019.03.20,1.13538,1.14477,1.1335,1.1428,67733,0,3
1505,2019.03.21,1.1428,1.14369,1.1342,1.13734,70302,0,4
1506,2019.03.22,1.13734,1.13903,1.12729,1.13006,78369,0,4
1507,2019.03.25,1.12952,1.1331,1.12885,1.13148,60819,0,3
1508,2019.03.26,1.13146,1.13256,1.12627,1.12735,62949,0,4
1509,2019.03.27,1.12735,1.12852,1.12418,1.12518,82043,0,8
1510,2019.03.28,1.12518,1.12609,1.12132,1.12295,72647,0,4
1511,2019.03.29,1.12295,1.12463,1.12094,1.12166,68760,0,2
1512,2019.04.01,1.12214,1.12496,1.11981,1.12058,64830,0,3
1513,2019.04.02,1.12058,1.12157,1.11833,1.1204,59456,0,4
1514,2019.04.03,1.1204,1.12543,1.12016,1.12415,55972,0,4
1515,2019.04.04,1.12415,1.12472,1.12056,1.12212,52309,0,4
1516,2019.04.05,1.12213,1.12476,1.12096,1.12152,46923,0,4
1517,2019.04.08,1.1218,1.12741,1.12144,1.12562,41645,0,2
1518,2019.04.09,1.12563,1.12838,1.12551,1.1266,45491,0,2
1519,2019.04.10,1.1266,1.12872,1.123,1.12759,55408,0,3
1520,2019.04.11,1.12758,1.1287,1.12495,1.12578,48348,0,4
1521,2019.04.12,1.12579,1.13235,1.12569,1.12981,45675,0,3
1522,2019.04.15,1.1304,1.13205,1.12972,1.13017,41225,0,3
1523,2019.04.16,1.13017,1.13135,1.12783,1.12809,57699,0,3
1524,2019.04.17,1.12809,1.13234,1.12809,1.12982,48427,0,2
1525,2019.04.18,1.12982,1.13037,1.12258,1.12361,58771,0,3
1526,2019.04.19,1.12362,1.12473,1.12321,1.12388,18291,0,3
1527,2019.04.22,1.1242,1.12616,1.12354,1.12594,19575,0,3
1528,2019.04.23,1.12594,1.12609,1.11918,1.12213,45840,0,2
1529,2019.04.24,1.12213,1.12241,1.11401,1.11574,61970,0,2
1530,2019.04.25,1.11574,1.1162,1.11173,1.11368,56029,0,3
1531,2019.04.26,1.11367,1.11735,1.11105,1.1142,56645,0,3
1532,2019.04.29,1.11504,1.11864,1.11446,1.11839,35790,0,2
1533,2019.04.30,1.11839,1.12286,1.11753,1.12107,55674,0,3
1534,2019.05.01,1.12109,1.12644,1.11867,1.12027,52623,0,2
1535,2019.05.02,1.12028,1.12187,1.11703,1.11744,58973,0,3
1536,2019.05.03,1.11744,1.12045,1.11346,1.12021,61982,0,4
1537,2019.05.06,1.11938,1.1209,1.11787,1.11979,49097,0,3
1538,2019.05.07,1.11979,1.12176,1.11662,1.11929,55071,0,4
1539,2019.05.08,1.11924,1.12134,1.11823,1.11972,65616,0,3
1540,2019.05.09,1.11972,1.12505,1.1173,1.12186,71756,0,4
1541,2019.05.10,1.12186,1.12532,1.12171,1.12333,59968,0,3
