,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
210,2014.03.25,0.75356,0.75941,0.75255,0.75747,20910,0,8
211,2014.03.26,0.75746,0.76382,0.75743,0.76037,23972,0,5
212,2014.03.27,0.76037,0.77089,0.76009,0.76984,23082,0,7
213,2014.03.28,0.76981,0.77347,0.76672,0.7672,16587,0,7
214,2014.03.31,0.76896,0.76951,0.76345,0.76686,21219,0,0
215,2014.04.01,0.76687,0.76837,0.76078,0.76099,18113,0,7
216,2014.04.02,0.76096,0.7612,0.75636,0.76003,18631,0,6
217,2014.04.03,0.76006,0.76207,0.75425,0.76194,22432,0,1
218,2014.04.04,0.76202,0.76922,0.76134,0.7662,21061,0,1
219,2014.04.07,0.76776,0.76817,0.76226,0.76407,13304,0,9
220,2014.04.08,0.76406,0.7693,0.76375,0.76598,24046,0,2
221,2014.04.09,0.76597,0.76995,0.76174,0.76717,26010,0,1
222,2014.04.10,0.7672,0.76896,0.75898,0.75936,17561,0,4
223,2014.04.11,0.7594,0.76233,0.75527,0.7601,13868,0,14
224,2014.04.14,0.76146,0.76479,0.75781,0.76444,14217,0,9
225,2014.04.15,0.76441,0.76466,0.75643,0.75685,16787,0,2
226,2014.04.16,0.7568,0.76131,0.75434,0.76061,16003,0,11
227,2014.04.17,0.76057,0.76185,0.75475,0.75696,12858,0,12
228,2014.04.18,0.75698,0.75814,0.75652,0.75696,8078,0,25
229,2014.04.21,0.75846,0.75912,0.75595,0.75901,7493,0,9
230,2014.04.22,0.75898,0.76254,0.7582,0.76188,11603,0,9
231,2014.04.23,0.76182,0.76275,0.75432,0.76073,15677,0,9
232,2014.04.24,0.76066,0.76274,0.75383,0.75559,14334,0,14
233,2014.04.25,0.7556,0.7573,0.75413,0.7554,9518,0,2
234,2014.04.28,0.75578,0.75707,0.7493,0.75101,13881,0,3
235,2014.04.29,0.75103,0.75632,0.74864,0.75603,13586,0,10
236,2014.04.30,0.75592,0.75927,0.75145,0.7576,16536,0,7
237,2014.05.01,0.75754,0.7599,0.75583,0.75852,16020,0,11
238,2014.05.02,0.75853,0.76235,0.75738,0.75948,24989,0,1
239,2014.05.05,0.75997,0.76232,0.75859,0.76232,10146,0,2
240,2014.05.06,0.76231,0.76682,0.75894,0.76124,18152,0,4
241,2014.05.07,0.76115,0.76132,0.75703,0.75773,18101,0,2
242,2014.05.08,0.75776,0.76133,0.7526,0.76072,22620,0,14
243,2014.05.09,0.76069,0.76446,0.75872,0.7629,12809,0,11
244,2014.05.12,0.7646,0.76622,0.76356,0.76535,10739,0,13
245,2014.05.13,0.76534,0.77052,0.76449,0.76753,15197,0,1
246,2014.05.14,0.76756,0.77192,0.76732,0.77022,13047,0,9
247,2014.05.15,0.7702,0.7758,0.76691,0.77055,15689,0,11
248,2014.05.16,0.77057,0.77077,0.76752,0.7695,21234,0,16
249,2014.05.19,0.77028,0.77148,0.76869,0.76975,28738,0,16
250,2014.05.20,0.76976,0.76981,0.76333,0.76334,32634,0,15
251,2014.05.21,0.76332,0.76614,0.76202,0.76494,34595,0,1
252,2014.05.22,0.76495,0.76789,0.76376,0.76621,21321,0,7
253,2014.05.23,0.7661,0.76726,0.76403,0.76492,22313,0,1
254,2014.05.26,0.76482,0.76608,0.76375,0.76561,25740,0,16
255,2014.05.27,0.76563,0.76802,0.76452,0.76774,30208,0,12
256,2014.05.28,0.76772,0.76784,0.76049,0.76174,35867,0,12
257,2014.05.29,0.76168,0.76316,0.75783,0.76191,36667,0,15
