,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
317,2013.08.14,20:00:00,98.066,98.157,97.771,97.781,5675,0,1
318,2013.08.15,00:00:00,97.78,98.294,97.584,97.771,13536,0,1
319,2013.08.15,04:00:00,97.771,97.968,97.628,97.899,8827,0,1
320,2013.08.15,08:00:00,97.901,98.202,97.816,98.084,8132,0,1
321,2013.08.15,12:00:00,98.084,98.649,97.693,97.816,16440,0,1
322,2013.08.15,16:00:00,97.816,98.029,97.2,97.232,11441,0,1
323,2013.08.15,20:00:00,97.23,97.387,97.051,97.074,5344,0,1
324,2013.08.16,00:00:00,97.074,97.673,97.056,97.583,9701,0,1
325,2013.08.16,04:00:00,97.581,97.758,97.311,97.35,9367,0,1
326,2013.08.16,08:00:00,97.349,97.549,97.265,97.549,7395,0,1
327,2013.08.16,12:00:00,97.545,97.706,97.195,97.603,11900,0,1
328,2013.08.16,16:00:00,97.603,97.773,97.482,97.531,6943,0,1
329,2013.08.16,20:00:00,97.529,97.642,97.512,97.521,895,0,1
330,2013.08.19,00:00:00,97.675,97.852,97.357,97.596,9592,0,1
331,2013.08.19,04:00:00,97.597,97.773,97.507,97.615,7603,0,1
332,2013.08.19,08:00:00,97.615,98.074,97.529,97.974,9452,0,1
333,2013.08.19,12:00:00,97.974,98.123,97.825,97.949,9986,0,1
334,2013.08.19,16:00:00,97.949,97.979,97.472,97.476,6194,0,1
335,2013.08.19,20:00:00,97.476,97.704,97.475,97.605,3976,0,1
336,2013.08.20,00:00:00,97.607,97.862,97.484,97.53,9098,0,1
337,2013.08.20,04:00:00,97.529,97.604,96.979,97.066,11937,0,1
338,2013.08.20,08:00:00,97.07,97.447,97.035,97.122,10778,0,1
339,2013.08.20,12:00:00,97.123,97.44,96.912,97.126,13397,0,1
340,2013.08.20,16:00:00,97.129,97.328,97.124,97.24,5211,0,1
341,2013.08.20,20:00:00,97.242,97.436,97.194,97.322,4423,0,1
342,2013.08.21,00:00:00,97.322,97.57,97.122,97.244,10628,0,1
343,2013.08.21,04:00:00,97.251,97.677,97.223,97.581,10017,0,1
344,2013.08.21,08:00:00,97.583,97.661,97.283,97.485,8337,0,1
345,2013.08.21,12:00:00,97.485,97.763,97.451,97.662,9362,0,1
346,2013.08.21,16:00:00,97.661,97.981,97.543,97.805,9979,0,1
347,2013.08.21,20:00:00,97.811,97.862,97.584,97.802,5242,0,1
348,2013.08.22,00:00:00,97.805,98.334,97.754,98.125,10234,0,1
349,2013.08.22,04:00:00,98.125,98.325,98.118,98.221,8116,0,1
350,2013.08.22,08:00:00,98.219,98.811,98.216,98.636,10901,0,1
351,2013.08.22,12:00:00,98.644,98.772,98.406,98.529,10650,0,1
352,2013.08.22,16:00:00,98.53,98.756,98.44,98.698,6011,0,1
353,2013.08.22,20:00:00,98.701,98.922,98.635,98.873,4632,0,1
354,2013.08.23,00:00:00,98.874,99.101,98.838,98.974,8365,0,1
355,2013.08.23,04:00:00,98.973,99.135,98.837,99.003,9025,0,1
356,2013.08.23,08:00:00,99.006,99.084,98.738,99.05,8914,0,1
357,2013.08.23,12:00:00,99.048,99.147,98.389,98.572,12259,0,1
358,2013.08.23,16:00:00,98.571,98.799,98.57,98.662,4775,0,1
359,2013.08.23,20:00:00,98.667,98.755,98.664,98.671,959,0,1
360,2013.08.26,00:00:00,98.724,98.842,98.616,98.675,6728,0,1
