,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
182,2014.02.13,170.222,170.586,169.234,170.227,71892,0,1
183,2014.02.14,170.226,170.593,169.116,170.462,62857,0,1
184,2014.02.17,170.01,171.066,170.001,170.745,53102,0,1
185,2014.02.18,170.747,171.876,170.213,170.638,71400,0,1
186,2014.02.19,170.638,171.156,169.604,170.53,66269,0,1
187,2014.02.20,170.53,170.838,169.224,170.682,73446,0,1
188,2014.02.21,170.682,171.727,170.122,170.267,60573,0,1
189,2014.02.24,170.666,170.853,169.854,170.682,64900,0,1
190,2014.02.25,170.68,171.082,170.072,170.398,66315,0,1
191,2014.02.26,170.399,170.942,169.947,170.598,67460,0,1
192,2014.02.27,170.597,170.823,169.054,170.062,71596,0,1
193,2014.02.28,170.061,171.196,169.379,170.347,72290,0,1
194,2014.03.03,169.553,169.972,168.82,169.148,71178,0,1
195,2014.03.04,169.148,170.507,169.069,170.274,66738,0,1
196,2014.03.05,170.282,171.386,170.144,171.235,60615,0,1
197,2014.03.06,171.236,172.828,171.224,172.339,65823,0,1
198,2014.03.07,172.342,173.581,172.041,172.542,91460,0,1
199,2014.03.10,172.584,172.651,171.529,171.812,118454,0,1
200,2014.03.11,171.812,172.115,170.749,170.957,124373,0,1
201,2014.03.12,170.957,171.441,170.159,170.713,137287,0,1
202,2014.03.13,170.711,171.626,168.704,169.134,179630,0,1
203,2014.03.14,169.136,169.265,167.933,168.701,155106,0,1
204,2014.03.17,168.619,169.598,168.503,169.352,120439,0,1
205,2014.03.18,169.351,169.467,167.767,168.3,133796,0,1
206,2014.03.19,168.299,169.698,168.067,169.193,141068,0,1
207,2014.03.20,169.193,169.713,168.703,168.931,127323,0,1
208,2014.03.21,168.93,169.104,168.091,168.6,97407,0,1
209,2014.03.24,168.743,169.432,168.322,168.584,120970,0,1
210,2014.03.25,168.582,169.312,168.374,169.229,125983,0,2
211,2014.03.26,169.227,169.677,168.627,168.903,125080,0,1
212,2014.03.27,168.902,170.322,168.792,169.616,142269,0,1
213,2014.03.28,169.619,171.308,169.584,171.052,109064,0,1
214,2014.03.31,171.254,172.112,170.976,171.996,134060,0,1
215,2014.04.01,171.997,172.509,171.742,172.348,113402,0,1
216,2014.04.02,172.336,172.994,172.311,172.689,109834,0,1
217,2014.04.03,172.68,173.138,172.15,172.439,120838,0,1
218,2014.04.04,172.442,172.467,171.0,171.103,124903,0,1
219,2014.04.07,171.284,171.594,170.669,171.171,91018,0,1
220,2014.04.08,171.171,171.553,170.009,170.742,162156,0,1
221,2014.04.09,170.74,171.573,170.485,171.559,127113,0,1
222,2014.04.10,171.558,171.623,170.014,170.097,94931,0,1
223,2014.04.11,170.036,170.906,169.497,170.027,90028,0,1
224,2014.04.14,169.72,170.506,169.581,170.462,78233,0,1
225,2014.04.15,170.459,170.669,169.496,170.373,88722,0,1
226,2014.04.16,170.375,172.097,170.359,171.729,75103,0,1
227,2014.04.17,171.727,172.105,171.449,171.94,64836,0,2
228,2014.04.18,171.944,172.179,171.783,171.958,21249,0,2
229,2014.04.21,172.134,172.489,172.105,172.399,34203,0,5
230,2014.04.22,172.399,172.736,172.01,172.635,61466,0,1
231,2014.04.23,172.632,172.789,171.354,172.007,70811,0,1
232,2014.04.24,172.005,172.184,171.475,171.947,74513,0,1
233,2014.04.25,171.947,172.258,171.378,171.629,58260,0,1
234,2014.04.28,171.575,172.573,171.257,172.327,70109,0,1
235,2014.04.29,172.324,172.905,172.263,172.555,64171,0,1
236,2014.04.30,172.557,172.698,171.934,172.5,82642,0,1
237,2014.05.01,172.5,172.929,172.393,172.781,47265,0,1
238,2014.05.02,172.782,173.461,172.341,172.344,71755,0,1
239,2014.05.05,172.504,172.531,171.772,172.281,43493,0,4
240,2014.05.06,172.282,172.945,172.197,172.675,81299,0,2
