,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
118,2013.06.28,16:00:00,1.42006,1.42674,1.41728,1.4211,15372,0,34
119,2013.06.28,20:00:00,1.42118,1.42381,1.42108,1.42318,4646,0,84
120,2013.07.01,00:00:00,1.42287,1.42443,1.41754,1.41904,12589,0,5
121,2013.07.01,04:00:00,1.41906,1.42504,1.41519,1.42477,14229,0,5
122,2013.07.01,08:00:00,1.42481,1.42497,1.4172,1.41989,16603,0,5
123,2013.07.01,12:00:00,1.41985,1.41985,1.41152,1.41238,20454,0,5
124,2013.07.01,16:00:00,1.41238,1.41552,1.41166,1.41526,12408,0,5
125,2013.07.01,20:00:00,1.41526,1.41576,1.41241,1.41374,7513,0,5
126,2013.07.02,00:00:00,1.41375,1.41757,1.41261,1.41657,11623,0,5
127,2013.07.02,04:00:00,1.41658,1.4272,1.41419,1.42132,17901,0,5
128,2013.07.02,08:00:00,1.42138,1.42182,1.41523,1.42118,18048,0,5
129,2013.07.02,12:00:00,1.42117,1.42343,1.41827,1.42136,22203,0,5
130,2013.07.02,16:00:00,1.42134,1.42371,1.41804,1.41921,16424,0,5
131,2013.07.02,20:00:00,1.41921,1.42001,1.41834,1.41963,7999,0,5
132,2013.07.03,00:00:00,1.41964,1.42634,1.41241,1.42543,16863,0,5
133,2013.07.03,04:00:00,1.42541,1.43258,1.42317,1.42585,19261,0,5
134,2013.07.03,08:00:00,1.42583,1.42982,1.42384,1.42742,21067,0,5
135,2013.07.03,12:00:00,1.42742,1.43448,1.42711,1.4312,22970,0,5
136,2013.07.03,16:00:00,1.43118,1.43929,1.43,1.43519,12484,0,5
137,2013.07.03,20:00:00,1.43519,1.4354,1.42733,1.42826,10949,0,5
138,2013.07.04,00:00:00,1.42824,1.43198,1.42368,1.42622,14396,0,5
139,2013.07.04,04:00:00,1.42621,1.42942,1.42484,1.42675,15437,0,5
140,2013.07.04,08:00:00,1.42676,1.42696,1.4219,1.42368,16663,0,5
141,2013.07.04,12:00:00,1.42367,1.42469,1.40644,1.40997,21941,0,5
142,2013.07.04,16:00:00,1.40992,1.41384,1.40766,1.41148,8738,0,5
143,2013.07.04,20:00:00,1.41145,1.41334,1.40844,1.40876,9970,0,5
144,2013.07.05,00:00:00,1.40877,1.41392,1.40877,1.41314,11854,0,5
145,2013.07.05,04:00:00,1.41316,1.41328,1.40607,1.40644,13168,0,5
146,2013.07.05,08:00:00,1.40638,1.40718,1.4028,1.40484,16814,0,5
147,2013.07.05,12:00:00,1.40484,1.41799,1.40234,1.41473,25367,0,5
148,2013.07.05,16:00:00,1.41465,1.418,1.41316,1.41603,11760,0,5
149,2013.07.05,20:00:00,1.41603,1.41681,1.41333,1.41333,1984,0,5
150,2013.07.08,00:00:00,1.41679,1.418,1.41501,1.41588,10924,0,5
151,2013.07.08,04:00:00,1.4159,1.41762,1.41388,1.4156,13512,0,5
152,2013.07.08,08:00:00,1.41561,1.41698,1.41296,1.41456,14468,0,5
153,2013.07.08,12:00:00,1.41456,1.41506,1.40796,1.41146,18650,0,5
154,2013.07.08,16:00:00,1.41143,1.41166,1.40749,1.4094,9347,0,5
155,2013.07.08,20:00:00,1.40941,1.41054,1.40757,1.41005,8320,0,5
156,2013.07.09,00:00:00,1.41011,1.41454,1.40783,1.40943,14176,0,5
157,2013.07.09,04:00:00,1.40941,1.41085,1.40132,1.4034,16394,0,5
158,2013.07.09,08:00:00,1.4034,1.40664,1.40104,1.40236,17321,0,5
159,2013.07.09,12:00:00,1.40236,1.40386,1.39375,1.39447,22255,0,5
160,2013.07.09,16:00:00,1.39448,1.39615,1.3905,1.39071,12844,0,5
161,2013.07.09,20:00:00,1.39068,1.39623,1.3906,1.39554,8023,0,5
162,2013.07.10,00:00:00,1.39554,1.39912,1.39063,1.39444,14651,0,5
163,2013.07.10,04:00:00,1.39443,1.39443,1.38642,1.39068,18789,0,5
164,2013.07.10,08:00:00,1.39068,1.39352,1.38913,1.39286,17683,0,5
165,2013.07.10,12:00:00,1.39287,1.40491,1.39256,1.40488,19873,0,5
166,2013.07.10,16:00:00,1.40487,1.41598,1.40324,1.41404,18945,0,5
167,2013.07.10,20:00:00,1.414,1.42225,1.40897,1.42006,22604,0,5
168,2013.07.11,00:00:00,1.42002,1.42295,1.4115,1.41563,22316,0,5
169,2013.07.11,04:00:00,1.41569,1.41598,1.40754,1.41141,23086,0,5
170,2013.07.11,08:00:00,1.41139,1.42075,1.41125,1.4187,19522,0,5
171,2013.07.11,12:00:00,1.41867,1.42957,1.41525,1.42632,25777,0,5
172,2013.07.11,16:00:00,1.4263,1.42925,1.42359,1.42719,18418,0,5
173,2013.07.11,20:00:00,1.42716,1.43021,1.42396,1.42779,12117,0,5
174,2013.07.12,00:00:00,1.42785,1.43341,1.42565,1.4258,13615,0,5
175,2013.07.12,04:00:00,1.42579,1.42679,1.4235,1.42496,14210,0,5
176,2013.07.12,08:00:00,1.42495,1.44429,1.42426,1.44245,16213,0,5
177,2013.07.12,12:00:00,1.44244,1.44733,1.43587,1.44182,21734,0,5
178,2013.07.12,16:00:00,1.44191,1.44405,1.43979,1.4422,12131,0,5
179,2013.07.12,20:00:00,1.44218,1.44424,1.44151,1.44328,2443,0,5
180,2013.07.15,00:00:00,1.43729,1.44173,1.43406,1.43721,12431,0,5
181,2013.07.15,04:00:00,1.43719,1.43743,1.43297,1.43343,12036,0,5
182,2013.07.15,08:00:00,1.43343,1.43977,1.43109,1.43678,17278,0,5
183,2013.07.15,12:00:00,1.4368,1.43894,1.43337,1.43518,21053,0,5
184,2013.07.15,16:00:00,1.43519,1.43746,1.4341,1.43485,10976,0,5
185,2013.07.15,20:00:00,1.43485,1.43723,1.43416,1.43642,8674,0,5
186,2013.07.16,00:00:00,1.43641,1.43649,1.42473,1.42753,14349,0,5
187,2013.07.16,04:00:00,1.42752,1.42753,1.423,1.42469,14173,0,5
188,2013.07.16,08:00:00,1.4247,1.42506,1.41869,1.4218,19443,0,5
189,2013.07.16,12:00:00,1.42178,1.42573,1.41986,1.42487,21345,0,5
190,2013.07.16,16:00:00,1.42486,1.42492,1.421,1.42312,12093,0,5
191,2013.07.16,20:00:00,1.42312,1.42444,1.42138,1.42186,9263,0,5
192,2013.07.17,00:00:00,1.42185,1.42535,1.42166,1.42318,10418,0,5
193,2013.07.17,04:00:00,1.42317,1.42939,1.42266,1.42829,13224,0,5
194,2013.07.17,08:00:00,1.42829,1.42962,1.42511,1.42568,15946,0,5
195,2013.07.17,12:00:00,1.42567,1.42815,1.4166,1.42207,25850,0,5
196,2013.07.17,16:00:00,1.42207,1.42383,1.41913,1.42113,13903,0,5
197,2013.07.17,20:00:00,1.42117,1.42187,1.41866,1.42012,6921,0,5
198,2013.07.18,00:00:00,1.42014,1.42899,1.41982,1.42822,12316,0,5
199,2013.07.18,04:00:00,1.42822,1.43308,1.42655,1.43095,14527,0,5
200,2013.07.18,08:00:00,1.43099,1.43149,1.42661,1.42933,16218,0,1
201,2013.07.18,12:00:00,1.42937,1.43138,1.42615,1.42907,20642,0,1
202,2013.07.18,16:00:00,1.42905,1.43099,1.42848,1.42952,11178,0,1
203,2013.07.18,20:00:00,1.42951,1.43068,1.42709,1.42794,7980,0,1
204,2013.07.19,00:00:00,1.42793,1.43093,1.42775,1.43069,14567,0,1
205,2013.07.19,04:00:00,1.43069,1.43326,1.42972,1.43149,13999,0,1
206,2013.07.19,08:00:00,1.43146,1.43194,1.42117,1.42455,16663,0,1
207,2013.07.19,12:00:00,1.42455,1.42984,1.42225,1.42836,17300,0,1
208,2013.07.19,16:00:00,1.42838,1.43038,1.42724,1.43008,8640,0,1
209,2013.07.19,20:00:00,1.43012,1.43271,1.42873,1.43229,2542,0,1
210,2013.07.22,00:00:00,1.42707,1.42884,1.42647,1.42772,11936,0,1
211,2013.07.22,04:00:00,1.42773,1.42944,1.42451,1.42933,11844,0,1
212,2013.07.22,08:00:00,1.42938,1.43446,1.42704,1.42759,14638,0,1
213,2013.07.22,12:00:00,1.4276,1.4282,1.4237,1.42607,18666,0,1
214,2013.07.22,16:00:00,1.42605,1.42689,1.42395,1.42627,9221,0,1
215,2013.07.22,20:00:00,1.42627,1.42633,1.42274,1.42491,8085,0,1
216,2013.07.23,00:00:00,1.42491,1.42527,1.42121,1.42353,12447,0,1
217,2013.07.23,04:00:00,1.42354,1.42577,1.42214,1.4252,14422,0,1
218,2013.07.23,08:00:00,1.42532,1.42887,1.42292,1.42681,17032,0,1
219,2013.07.23,12:00:00,1.42681,1.42938,1.42571,1.42696,18499,0,1
220,2013.07.23,16:00:00,1.42696,1.42729,1.42238,1.42293,13057,0,1
221,2013.07.23,20:00:00,1.42291,1.42407,1.42215,1.4236,8416,0,1
222,2013.07.24,00:00:00,1.42361,1.42894,1.41868,1.42605,15349,0,1
223,2013.07.24,04:00:00,1.42614,1.43811,1.42529,1.43707,15941,0,1
224,2013.07.24,08:00:00,1.43707,1.43994,1.43385,1.43551,16829,0,1
225,2013.07.24,12:00:00,1.43557,1.44073,1.43293,1.44009,20213,0,1
226,2013.07.24,16:00:00,1.44008,1.44403,1.43835,1.44082,15805,0,1
227,2013.07.24,20:00:00,1.44085,1.44479,1.43881,1.44425,10882,0,1
228,2013.07.25,00:00:00,1.44425,1.44446,1.44122,1.44271,12070,0,1
229,2013.07.25,04:00:00,1.44272,1.44525,1.44079,1.44451,14358,0,1
230,2013.07.25,08:00:00,1.44437,1.44556,1.4366,1.4389,18656,0,1
231,2013.07.25,12:00:00,1.43888,1.44243,1.43729,1.43985,21189,0,1
232,2013.07.25,16:00:00,1.43985,1.44008,1.43374,1.43491,16140,0,1
233,2013.07.25,20:00:00,1.43489,1.43803,1.4319,1.43702,11357,0,1
234,2013.07.26,00:00:00,1.43702,1.4374,1.43212,1.43288,14198,0,1
235,2013.07.26,04:00:00,1.4329,1.4357,1.43125,1.43136,14012,0,1
236,2013.07.26,08:00:00,1.4314,1.43274,1.42915,1.43206,15934,0,1
237,2013.07.26,12:00:00,1.43203,1.43733,1.43184,1.43583,20599,0,1
238,2013.07.26,16:00:00,1.43586,1.43678,1.43191,1.43237,11233,0,1
239,2013.07.26,20:00:00,1.43239,1.43418,1.43204,1.43265,2037,0,1
240,2013.07.29,00:00:00,1.43571,1.43632,1.43108,1.43261,12815,0,1
