,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
15371,2023.04.21,08:00:00,98.971,99.139,98.831,98.882,15385,0,7
15372,2023.04.21,12:00:00,98.88,99.308,98.679,99.295,17983,0,6
15373,2023.04.21,16:00:00,99.297,99.346,98.988,99.059,9612,0,8
15374,2023.04.21,20:00:00,99.059,99.066,98.992,99.045,2379,0,12
15375,2023.04.24,00:00:00,99.048,99.19,98.839,99.187,11377,0,10
15376,2023.04.24,04:00:00,99.195,99.211,98.915,98.929,12027,0,10
15377,2023.04.24,08:00:00,98.93,99.488,98.863,99.375,13767,0,9
15378,2023.04.24,12:00:00,99.374,99.522,99.216,99.291,13512,0,6
15379,2023.04.24,16:00:00,99.292,99.308,99.094,99.135,8760,0,8
15380,2023.04.24,20:00:00,99.137,99.214,98.935,99.059,6772,0,8
15381,2023.04.25,00:00:00,99.058,99.317,99.007,99.141,12583,0,10
15382,2023.04.25,04:00:00,99.141,99.235,98.942,99.169,11510,0,7
15383,2023.04.25,08:00:00,99.168,99.168,98.594,98.695,15768,0,10
15384,2023.04.25,12:00:00,98.696,98.779,98.167,98.316,16081,0,6
15385,2023.04.25,16:00:00,98.317,98.466,97.749,97.903,12323,0,8
15386,2023.04.25,20:00:00,97.906,98.272,97.868,98.181,6565,0,8
15387,2023.04.26,00:00:00,98.18,98.202,97.907,97.98,14670,0,7
15388,2023.04.26,04:00:00,97.979,98.159,97.862,98.116,13457,0,10
15389,2023.04.26,08:00:00,98.115,98.166,97.794,97.896,19049,0,6
15390,2023.04.26,12:00:00,97.898,98.299,97.551,97.857,21969,0,6
15391,2023.04.26,16:00:00,97.856,98.357,97.825,97.848,13973,0,8
15392,2023.04.26,20:00:00,97.849,98.039,97.816,97.984,6920,0,9
15393,2023.04.27,00:00:00,97.983,98.037,97.833,97.917,13703,0,10
15394,2023.04.27,04:00:00,97.917,98.252,97.911,98.167,13568,0,9
15395,2023.04.27,08:00:00,98.168,98.277,98.002,98.049,15290,0,10
15396,2023.04.27,12:00:00,98.049,98.617,97.828,98.551,19939,0,6
15397,2023.04.27,16:00:00,98.549,98.566,98.359,98.492,10377,0,7
15398,2023.04.27,20:00:00,98.49,98.608,98.115,98.49,10482,0,9
15399,2023.04.28,00:00:00,98.49,98.763,98.223,98.583,17353,0,6
15400,2023.04.28,04:00:00,98.583,99.674,98.017,99.555,23261,0,7
15401,2023.04.28,08:00:00,99.554,99.72,99.233,99.614,26120,0,1
15402,2023.04.28,12:00:00,99.614,100.547,99.562,100.396,65954,0,1
15403,2023.04.28,16:00:00,100.394,100.676,100.219,100.656,30573,0,1
15404,2023.04.28,20:00:00,100.657,100.657,100.482,100.538,6212,0,1
15405,2023.05.01,00:00:00,100.522,100.859,100.466,100.81,20973,0,1
15406,2023.05.01,04:00:00,100.81,101.055,100.791,101.019,9208,0,2
15407,2023.05.01,08:00:00,101.02,101.075,100.801,100.801,13932,0,3
15408,2023.05.01,12:00:00,100.802,100.903,100.602,100.896,14786,0,3
15409,2023.05.01,16:00:00,100.897,101.594,100.806,101.593,37181,0,3
15410,2023.05.01,20:00:00,101.592,101.594,101.463,101.519,17060,0,1
15411,2023.05.02,00:00:00,101.483,101.543,101.283,101.398,10076,0,4
15412,2023.05.02,04:00:00,101.4,101.733,101.368,101.715,15437,0,1
15413,2023.05.02,08:00:00,101.712,101.803,101.21,101.354,23583,0,2
15414,2023.05.02,12:00:00,101.352,101.385,101.112,101.148,18684,0,2
15415,2023.05.02,16:00:00,101.151,101.219,100.001,100.115,39567,0,1
15416,2023.05.02,20:00:00,100.115,100.374,100.077,100.218,14310,0,1
15417,2023.05.03,00:00:00,100.175,100.271,100.075,100.143,12042,0,6
15418,2023.05.03,04:00:00,100.145,100.168,99.799,99.936,11071,0,2
15419,2023.05.03,08:00:00,99.937,99.966,99.516,99.613,19553,0,1
15420,2023.05.03,12:00:00,99.612,99.711,99.247,99.296,21933,0,2
15421,2023.05.03,16:00:00,99.297,99.549,99.118,99.541,28651,0,1
15422,2023.05.03,20:00:00,99.54,99.831,98.933,98.933,78099,0,1
15423,2023.05.04,00:00:00,98.833,98.961,98.615,98.739,28065,0,4
15424,2023.05.04,04:00:00,98.739,99.074,98.695,99.047,11559,0,4
15425,2023.05.04,08:00:00,99.048,99.107,98.595,98.849,26220,0,1
15426,2023.05.04,12:00:00,98.847,99.168,98.705,99.102,31911,0,2
15427,2023.05.04,16:00:00,99.102,99.216,98.382,98.784,65468,0,1
15428,2023.05.04,20:00:00,98.784,99.234,98.742,99.168,25590,0,1
15429,2023.05.05,00:00:00,99.126,99.306,99.064,99.193,12945,0,1
15430,2023.05.05,04:00:00,99.193,99.257,99.116,99.181,11335,0,2
15431,2023.05.05,08:00:00,99.18,99.473,99.076,99.372,33057,0,1
15432,2023.05.05,12:00:00,99.37,100.205,99.268,100.176,44655,0,1
15433,2023.05.05,16:00:00,100.174,100.523,99.962,100.453,49492,0,1
15434,2023.05.05,20:00:00,100.453,100.822,100.392,100.718,15619,0,1
15435,2023.05.08,00:00:00,100.718,101.133,100.585,100.799,13784,0,1
15436,2023.05.08,04:00:00,100.798,100.974,100.727,100.777,14428,0,2
15437,2023.05.08,08:00:00,100.776,101.161,100.712,101.085,21941,0,1
15438,2023.05.08,12:00:00,101.085,101.421,101.053,101.353,24878,0,1
15439,2023.05.08,16:00:00,101.351,101.392,100.762,100.839,26802,0,1
15440,2023.05.08,20:00:00,100.84,101.094,100.8,100.95,18304,0,1
15441,2023.05.09,00:00:00,100.941,101.188,100.839,101.099,15668,0,1
15442,2023.05.09,04:00:00,101.099,101.12,100.892,100.985,19822,0,1
